training,kpi_performance,boss_survey,city_size,years_since_promotion,job_satisfaction,half_day_leaves,team_size,rank,age,salary,gender,exit
3,.85617352,.65544415,6.0999999,3,.55074137,4,9,3,35,53.894035,1,0
3,.55159938,.53345531,9.3999996,3,.86257821,5,6,1,33,35.606964,0,0
3,.74016309,.48656765,2.2,4,.41687843,4,10,1,32,27.40036,0,0
3,.91464549,.477364,4.3000002,4,.30989289,4,8,1,40,36.138199,0,0
2,.51647699,.60323,2.2,4,.94780219,5,9,4,47,42.77858,1,1
3,.61873221,.25233155,9.3999996,3,.68397856,6,8,1,36,31.284256,1,1
3,.766321,.75362724,4.3000002,3,.90295202,4,6,3,46,40.917908,1,0
3,.81690466,.41218749,4.3000002,3,.51290178,4,10,4,42,52.550568,1,0
3,.73810226,.77599883,4.3000002,4,.63516557,4,7,1,36,41.399063,1,0
3,.81415272,.49539116,6.0999999,4,.37025675,6,5,1,41,33.684814,1,0
3,.71992332,.36821923,6.0999999,4,.50058168,5,8,1,36,29.644485,0,0
3,.95778179,.72553301,6.0999999,2,.6700803,4,7,2,34,48.627304,1,0
3,.67668831,.23913112,6.0999999,4,.42259231,5,8,1,30,31.299576,0,0
3,.74645633,.41514087,2.2,3,.71449274,2,9,1,41,34.29155,1,0
3,.67303073,.72689676,2.2,3,.8922376,2,4,1,28,33.630737,0,0
2,.76073378,.38714468,6.0999999,4,.54028124,5,7,3,40,46.047699,1,1
3,.76812351,.64091057,9.3999996,4,.56558084,4,5,1,41,30.233032,0,0
3,.91024047,.64356834,4.3000002,4,.53188229,5,9,2,37,55.35498,1,0
2,.7316463,.086701199,2.2,4,.1156434,4,7,1,36,28.706696,0,0
3,.89647764,.58089948,9.3999996,3,.2859534,5,10,1,37,41.810776,1,0
2,.68867797,.23186819,.89999998,4,.71326447,3,7,2,39,44.701401,1,0
3,.63058555,.46777028,9.3999996,4,.61776143,5,7,1,36,35.216385,1,0
2,.77950746,.82995027,9.3999996,4,.81664991,4,4,2,41,38.418747,1,0
2,.75517553,.69184774,4.3000002,4,.68952006,5,3,1,49,35.174469,1,0
2,.72442991,.42878616,2.2,4,.36912602,6,8,1,34,31.514389,1,0
2,.58096713,.59765577,6.0999999,5,.67208838,3,6,1,35,29.74527,0,0
3,.55492347,.49317262,6.0999999,3,.68431866,6,7,1,31,36.948807,0,0
2,.74113941,.3741118,4.3000002,5,.29958528,4,9,2,32,42.129913,1,1
2,.72233206,.1251543,4.3000002,5,.34668821,5,5,1,46,30.77742,0,0
3,.55277056,.50178826,9.3999996,3,.85294288,5,8,3,44,42.94545,0,0
3,.82850236,.36046597,2.2,3,.5727827,5,6,1,28,41.376976,0,0
2,.58174419,.33879942,6.0999999,4,.39317173,6,9,1,35,31.034592,0,1
1,.73853099,.65651286,.89999998,5,.45757326,4,7,1,36,38.712204,0,0
2,.65593004,.37382194,.89999998,5,.60354465,3,8,1,42,28.454239,0,0
2,.6323362,.35958269,6.0999999,4,.49832308,6,7,4,43,55.917297,1,0
3,.74235237,.45291725,9.3999996,4,.4406549,6,8,2,38,52.39135,1,0
3,.90546554,.43966272,4.3000002,4,.41265064,3,5,1,38,40.138107,1,0
2,.74082983,.4557752,6.0999999,4,.6000421,5,8,1,30,43.030052,1,1
1,.5124169,.61078614,.89999998,5,.58927435,5,10,1,33,44.646286,1,0
3,.69579464,.1445837,4.3000002,4,.689574,6,4,4,38,43.831337,1,1
3,.58690864,.53975421,6.0999999,4,.79386675,5,6,3,40,41.34565,1,0
2,.88196307,.73181337,2.2,4,.81764817,1,4,1,37,39.431519,0,0
2,.72293508,.32358336,6.0999999,4,.42606732,5,6,2,41,39.02092,0,0
2,.64072567,.56987596,4.3000002,3,.57533967,6,10,2,39,43.972267,1,0
2,.52459359,.41842622,6.0999999,5,.53540134,6,8,2,37,33.972931,1,0
3,.77058786,.35581201,2.2,4,.62853152,5,8,2,43,46.657516,1,1
2,.68456787,.80428326,4.3000002,4,.58728516,5,6,1,36,39.705864,1,0
3,.73974669,.33776316,6.0999999,3,.52726263,6,7,4,48,44.187035,1,0
2,.78276247,.72506917,6.0999999,4,.6060425,4,4,1,36,49.284637,1,0
2,.7946431,.55098265,2.2,3,.69202298,4,10,3,35,50.771072,1,0
4,.71696961,.63878834,6.0999999,3,.77701259,4,4,1,43,36.718048,0,0
3,.63596797,.57086146,4.3000002,3,.80346715,6,9,2,36,48.872429,1,0
2,.47101438,.46735632,6.0999999,4,.55660605,6,8,1,36,31.861343,0,0
3,.66208965,.59961164,.89999998,3,.93840635,4,5,1,33,34.993484,1,0
2,.72330755,.8380264,2.2,4,.9517352,4,5,1,39,35.257706,1,0
3,.70861918,.71923739,4.3000002,2,.95439488,3,4,2,34,31.560944,0,0
3,.72871614,.31612095,6.0999999,4,.58495533,5,5,3,32,40.427483,1,1
2,.8269456,.43987197,4.3000002,3,.66057062,5,7,3,44,53.952591,1,1
2,.70720017,.68658036,6.0999999,5,.44789726,5,5,2,39,52.16124,1,0
2,.69921595,.34281388,6.0999999,4,.42124069,4,10,2,38,39.039581,1,1
3,.78579313,.9114871,2.2,4,.61137038,4,8,1,36,37.331329,1,0
3,.63981956,.58468342,9.3999996,3,.80608803,4,5,3,43,40.430832,1,0
2,.76302087,.16266318,4.3000002,5,.031641483,5,11,1,37,35.822983,1,1
3,.7684598,.3407574,4.3000002,4,.36597425,6,4,1,33,34.392319,0,1
3,.79741561,.65728629,9.3999996,4,.7080366,5,2,1,35,39.483299,1,0
2,.90062845,.17118242,9.3999996,4,.2389323,3,8,1,36,38.926926,1,0
3,.5750798,.65498894,2.2,4,.83721173,3,7,1,37,32.100876,0,0
2,.81266576,.38056675,6.0999999,3,.47795987,4,9,1,40,37.340187,0,0
3,.73664308,.5667699,4.3000002,3,.75716925,5,8,2,36,39.12175,0,0
3,.79346812,.45667082,6.0999999,3,.50962919,2,8,1,40,28.210983,1,0
3,.71030575,.28909507,6.0999999,4,.56718004,4,7,2,39,36.091782,1,0
3,.56245697,.70397866,9.3999996,3,.72103542,6,11,4,38,63.060143,1,0
2,.78455627,.68308038,2.2,3,.50252497,5,8,3,36,44.708206,1,1
3,.68232214,.4674907,4.3000002,4,.65722018,4,6,4,46,38.996223,1,0
3,.69130433,.27161235,6.0999999,4,.60113335,4,6,1,27,32.66507,0,1
3,.70874721,.41504362,9.3999996,4,.46202251,5,5,1,35,32.795303,0,0
2,.74627501,.53191686,.89999998,4,.63865042,2,9,2,42,39.874161,1,0
3,.68004823,.30522835,9.3999996,4,.37138683,5,8,1,34,28.646576,0,0
3,.75260413,.40639952,6.0999999,3,.4984383,6,7,3,43,41.571251,1,1
3,.74756449,.49659553,2.2,4,.60919511,3,5,1,43,36.717712,1,0
3,.85767341,.5807969,9.3999996,3,.69979942,3,4,1,34,33.784683,0,0
2,.68516964,.66366392,6.0999999,2,.94826174,3,4,1,35,37.997078,0,0
3,.63279438,.044236563,9.3999996,4,.27835342,6,10,4,41,44.090942,1,1
3,.70239037,.53138238,2.2,3,1.0257951,3,5,4,44,54.674591,1,0
4,.72971588,.42110777,4.3000002,3,.59673548,5,8,3,44,44.345978,1,0
3,.83670282,.57363182,9.3999996,4,.33462211,4,7,1,35,42.898827,1,0
2,.77208287,.91161311,6.0999999,3,.74534619,3,8,1,38,38.413124,0,0
2,.72762978,.29425117,9.3999996,4,.44473106,3,6,1,34,38.420242,1,0
3,.61453581,.33611169,6.0999999,3,.55752474,6,10,1,38,33.724792,0,1
2,.62372845,.33007222,2.2,4,.75454694,3,6,2,43,34.518356,0,1
3,.65357178,.35148203,9.3999996,4,.58820957,4,8,1,30,33.82222,0,1
3,.74146599,.28491563,4.3000002,6,.13026981,5,9,1,34,32.567581,1,1
3,.82554388,.76898432,9.3999996,3,.64955139,3,5,1,45,27.728531,0,0
2,.71413136,.58731061,9.3999996,5,.39769155,4,8,1,39,39.980019,1,0
3,.83897954,.69494617,2.2,4,.67597324,3,4,1,34,35.226212,0,0
4,.53551865,.44078788,2.2,3,1.1357777,4,7,4,38,35.99884,1,0
3,.65163344,.83629107,2.2,4,.9750737,4,6,2,43,36.353546,1,0
3,.91232646,.76101828,6.0999999,3,.57444388,4,7,2,34,45.595688,1,0
